question,expected_answer,expected_year
"What was Apple's total net sales in 2025?","$416,161 million","2025"
"What were Apple's iPhone net sales in 2025?","$209,586 million","2025"
"What were Apple's Mac net sales in 2025?","$33,708 million","2025"
"What were Apple's Services net sales in 2025?","$109,158 million","2025"
"What was Apple's total net sales in 2024?","$391,035 million","2024"
"What were Apple's iPhone net sales in 2024?","$201,183 million","2024"
"What were Apple's Services net sales in 2024?","$96,169 million","2024"
"What was Apple's total net sales in 2023?","$383,285 million","2023"
"What were Apple's iPhone net sales in 2023?","$200,583 million","2023"
"What were Apple's Services net sales in 2023?","$85,200 million","2023"
